"query","Query:[lc=""go"" | lemma_lc=""go""] within <doc (dialect=""Ulster"") />"
"Reference","Left","KWIC","Right"
"doc#7","agus an mbeadh ... </s><s> B'' é seo anois an chéad scoil a deachaigh tú ann ? </s><s> Bheadh fonn orm a ghabháil ann , agus ... bhuel , dúirt mé","go","mbainfinn triail as , ach bhí i gcónaí an rud eile agam le titim siar air . </s><s> Chuaigh mé ansin agus bhí sé ceart go leor ag obair"
"doc#7",", dúirt mé go mbainfinn triail as , ach bhí i gcónaí an rud eile agam le titim siar air . </s><s> Chuaigh mé ansin agus bhí sé ceart","go","leor ag obair ag na Bráithre , ach san am chéanna , bhí an obair a bhí ag Bord na Móna i bhfad níos suimiúla . </s><s> Agus bhí an obair"
"doc#7","obair istigh ins na seomraí ranga ansin , bhí an obair iontach cruaidh agus bhí na Bráithre iad fhéin measartha cruaidh ,","go","speisialta an príomhoide a bhí orthu , agus ag amharc ar nótaí , chaithfeá nótaí chóir a bheith a dhéanamh amach ansin"
"doc#7","'' na coláiste , an raibh a fhios agat caidé an seort jab a bhí ins sa mhúinteoireacht , mar a déarfá , ná an raibh a fhios agat","go","mbeadh sé cruaidh ? </s><s> Bhuel , bhí a fhios agam , bhí tuairim mhaith agam air , ach san am chéanna , an bhfuil a fhios agat , cha"
"doc#7","sé cruaidh ? </s><s> Bhuel , bhí a fhios agam , bhí tuairim mhaith agam air , ach san am chéanna , an bhfuil a fhios agat , cha raibh mé","go","hiomlán ina éadan . </s><s> An dtuigeann tú , bhí sé maith go leor , bhí cleachtadh agam air ó bheith ar an scoil mé féin . </s><s> Agus ... </s><s> '' Sé"
"doc#7","agam air , ach san am chéanna , an bhfuil a fhios agat , cha raibh mé go hiomlán ina éadan . </s><s> An dtuigeann tú , bhí sé maith","go","leor , bhí cleachtadh agam air ó bheith ar an scoil mé féin . </s><s> Agus ... </s><s> '' Sé ... Ach cha raibh tú go hiomlán ina leith ach oiread"
"doc#7","<s> An dtuigeann tú , bhí sé maith go leor , bhí cleachtadh agam air ó bheith ar an scoil mé féin . </s><s> Agus ... </s><s> '' Sé ... Ach cha raibh tú","go","hiomlán ina leith ach oiread ? </s><s> Cha raibh mé go hiomlán ina leith , ní raibh mé go hiomlán ina leith . </s><s> Agus chuir mé isteach"
"doc#7","agam air ó bheith ar an scoil mé féin . </s><s> Agus ... </s><s> '' Sé ... Ach cha raibh tú go hiomlán ina leith ach oiread ? </s><s> Cha raibh mé","go","hiomlán ina leith , ní raibh mé go hiomlán ina leith . </s><s> Agus chuir mé isteach ansin , dhá bhliain , sílim , a bhí mé ansin , agus"
"doc#7","mé féin . </s><s> Agus ... </s><s> '' Sé ... Ach cha raibh tú go hiomlán ina leith ach oiread ? </s><s> Cha raibh mé go hiomlán ina leith , ní raibh mé","go","hiomlán ina leith . </s><s> Agus chuir mé isteach ansin , dhá bhliain , sílim , a bhí mé ansin , agus tharla sé go raibh folúntas i"
"doc#7","leith , ní raibh mé go hiomlán ina leith . </s><s> Agus chuir mé isteach ansin , dhá bhliain , sílim , a bhí mé ansin , agus tharla sé","go","raibh folúntas i dToraigh ins an am chéanna , agus bhí aithne agam ar an tsagart a bhí ann , an tAthair Ó Frighil . </s><s> Sílim gur"
"doc#7","aníos as Fánaid é , sílim , aníos as Fánaid , agus bhí aithne mhaith agam air ''s iocairgur ... nuair a bhí sé amach is isteach","go","Toraigh , ba ghnáth leis a bheith Tigh Dixon i Mín Lárach agus ba ghnáth leis corruair a bheith ag baint faoi ann . </s><s> Agus"
"doc#7","i Mín Lárach agus ba ghnáth leis corruair a bheith ag baint faoi ann . </s><s> Agus chuir mé aithne air ansin agus bhí a fhios aige","go","raibh mé ag teagasc thíos anseo agus scríobh sé chugam ag cur ceiste orm an raibh suim agam ann , agus chuir mé freagra ar"
"doc#7","anseo agus scríobh sé chugam ag cur ceiste orm an raibh suim agam ann , agus chuir mé freagra ar ais chuige nach raibh ,","go","mb'' fhearr liom fanacht ar an talamh - tír mór - ná a ghabháil ar oileán . </s><s> Agus bhí sin maith go leor ... b'' fhéidir mí nó dhá"
"doc#7","ar ais chuige nach raibh , go mb'' fhearr liom fanacht ar an talamh - tír mór - ná a ghabháil ar oileán . </s><s> Agus bhí sin maith","go","leor ... b'' fhéidir mí nó dhá mhí ina dhiaidh sin fuair mé litir aríst uaidh a rá nach raibh sé ábalta duine ar bith a fháil"
"doc#7","... b'' fhéidir mí nó dhá mhí ina dhiaidh sin fuair mé litir aríst uaidh a rá nach raibh sé ábalta duine ar bith a fháil agus","go","raibh an t-oileán tamalt fada gan múinteoir . </s><s> Agus dúirt sé dá dtéinn isteach ann go mb'' fhéidir nach mbeinn iontach fada"
"doc#7","sé ábalta duine ar bith a fháil agus go raibh an t-oileán tamalt fada gan múinteoir . </s><s> Agus dúirt sé dá dtéinn isteach ann","go","mb'' fhéidir nach mbeinn iontach fada ann , agus triail a bhaint as cibé ar bith . </s><s> So , rinne mé suas m'' intinn go rachainn ann"
"doc#7","isteach ann go mb'' fhéidir nach mbeinn iontach fada ann , agus triail a bhaint as cibé ar bith . </s><s> So , rinne mé suas m'' intinn","go","rachainn ann agus chuaigh mé isteach go Toraigh agus chaith mé chuid mhaith de chúig bliana istigh i dToraigh . </s><s> Agus"
"doc#7","iontach fada ann , agus triail a bhaint as cibé ar bith . </s><s> So , rinne mé suas m'' intinn go rachainn ann agus chuaigh mé isteach","go","Toraigh agus chaith mé chuid mhaith de chúig bliana istigh i dToraigh . </s><s> Agus caidé mar a thaitin muintir Thoraí leat ? </s><s> Go"
"doc#7","go Toraigh agus chaith mé chuid mhaith de chúig bliana istigh i dToraigh . </s><s> Agus caidé mar a thaitin muintir Thoraí leat ? </s><s>","Go","han-mhaith ar fad , bhí am breá agam i dToraigh . </s><s> Bhí an tAthair Ó Frighil ansin , ach ní raibh sé i bhfad ann . </s><s> hAistríodh é ,"
"doc#7","eile ansin . </s><s> Bhí sé amuigh ins sa Dara Cogadh ina shéiplíneach , agus nuair a tháinig sé '' na bhaile cuireadh isteach","go","Toraigh é . </s><s> Bhí sé ann ar feadh tamailt , agus ina dhiaidh sin tháinig an tAthair Séamus Mac Daoir , sin Canónach ... Canon"
"doc#7","ar an scoil agamsa ansin , agus , dar ndóigh , bhí na ranganna uilig ann , ó na naíonáin suas go dtí rang a sé , agus b'' fhéidir","go","raibh , bhuel , sular fhág mise bhí duine nó beirt i rang a seacht . </s><s> Thug an tAthair Mac Dyer , thug sé cuidiú mór domh , nó go"
"doc#7","go raibh , bhuel , sular fhág mise bhí duine nó beirt i rang a seacht . </s><s> Thug an tAthair Mac Dyer , thug sé cuidiú mór domh , nó","go","mion minic ansin , an bhfuil a fhios agat , laethaibh samhraidh is é iontach te ansin , thigeadh sé isteach agus níodh sé an"
"doc#7","chuid eile den lá a ghlacadh agus d'' fhanfadh seisean ansin go dtí an trí an chlog , agus fuair an bheirt againn ar aghaidh","go","han-mhaith le chéile . </s><s> Go maith . </s><s> Agus an bhfaighfeá '' na bhaile rómhinic ? </s><s> Ní bhfaigheadh chomh minic is atá siad ag"
"doc#7","agus d'' fhanfadh seisean ansin go dtí an trí an chlog , agus fuair an bheirt againn ar aghaidh go han-mhaith le chéile . </s><s>","Go","maith . </s><s> Agus an bhfaighfeá '' na bhaile rómhinic ? </s><s> Ní bhfaigheadh chomh minic is atá siad ag teacht anois . </s><s> Ní bhfaigheadh . </s>"
"doc#7","an bhfaighfeá '' na bhaile rómhinic ? </s><s> Ní bhfaigheadh chomh minic is atá siad ag teacht anois . </s><s> Ní bhfaigheadh . </s><s> B'' fhéidir","go","mbeifeá mí ansin sula bhfaighfeá amach '' na tíre , bhuel , sa tsamhradh go speisialta , thiocfá níos minice ná sin . </s><s> Ach sa"
"doc#7","ag teacht anois . </s><s> Ní bhfaigheadh . </s><s> B'' fhéidir go mbeifeá mí ansin sula bhfaighfeá amach '' na tíre , bhuel , sa tsamhradh","go","speisialta , thiocfá níos minice ná sin . </s><s> Ach sa gheimhreadh , is cuimhneach liomsa dhá gheimhreadh a chaith mé istigh"
"doc#7",". </s><s> Agus ... bhuel , a dúirt sé , tchífidh muid fá dtaobh de sin . </s><s> So , chuaigh mé isteach aríst , agus ní raibh mé i bhfad istigh","go","bhfuair mé , lá amháin , glaoch gutháin ón Chanónach Mac Giolla Chearra , ag inse domh go raibh folúntas thuas amuigh sa"
"doc#7",", agus ní raibh mé i bhfad istigh go bhfuair mé , lá amháin , glaoch gutháin ón Chanónach Mac Giolla Chearra , ag inse domh","go","raibh folúntas thuas amuigh sa Lagán i scoil St. Johnston , agus go raibh ceann eile ins sa scoil abhus ag an teorainn . </s>"
"doc#7","gutháin ón Chanónach Mac Giolla Chearra , ag inse domh go raibh folúntas thuas amuigh sa Lagán i scoil St. Johnston , agus","go","raibh ceann eile ins sa scoil abhus ag an teorainn . </s><s> Agus do bharúil , cé acu ceann a ba mhó a mbeadh suim agat ann ... agus"
"doc#7","eile ins sa scoil abhus ag an teorainn . </s><s> Agus do bharúil , cé acu ceann a ba mhó a mbeadh suim agat ann ... agus dúirt mise","go","mb'' fhearr liom an ceann a bhí ag an teorainn , go mbeadh sé ar an phríomhbhóthar agus de thairbhe teacht '' na bhaile nó rud"
"doc#7","do bharúil , cé acu ceann a ba mhó a mbeadh suim agat ann ... agus dúirt mise go mb'' fhearr liom an ceann a bhí ag an teorainn ,","go","mbeadh sé ar an phríomhbhóthar agus de thairbhe teacht '' na bhaile nó rud ar bith ... </s><s> An teorainn anois idir Dún na nGall"
"doc#7","? </s><s> Idir ... sin Cill Liath - ''s é - sin , agus tá an scoil istigh idir an dá chustom post . </s><s> Istigh eatarthu . </s><s> Tá an scoil ansin","go","fóill ar thaobh do láimhe clí , agus chaith mé ins sa scoil sin - fuair mé an scoil sin , fríd an Chanónach Mac Giolla Chearra"
"doc#7","Chearra - agus chaith mé chóir a bheith cúig bliana ansin . </s><s> I ndiaidh an Lagáin ansin , bhí an Canónach Mac Giolla Chearra","go","fóill , bhí sé ina shagart paróiste i nGort a '' Choirce agus bhí folúntas ... príomhoide de dhíobháil i Machaire"
"doc#7","i Machaire Rabhartaigh , agus casadh orm lá amháin é agus bhí mé ag caint leis fá dtaobh de seo . </s><s> Bhí a fhios aige","go","raibh , go raibh an post ag teacht aníos agus , dúirt sé liom , '' cuir isteach iarratas air , '' a dúirt sé , '' cibé ar bith , agus"
"doc#7","i Machaire Rabhartaigh , agus casadh orm lá amháin é agus bhí mé ag caint leis fá dtaobh de seo . </s><s> Bhí a fhios aige go raibh ,","go","raibh an post ag teacht aníos agus , dúirt sé liom , '' cuir isteach iarratas air , '' a dúirt sé , '' cibé ar bith , agus tchífidh"
"doc#7",", ainneoin nárbh é an Bainisteoir é , b'' é an tAthair Ó Gallachóir an bainisteoir , eisean é fhéin a chuir an litir chugam ,","go","raibh mé ceaptha aige mar phríomhoide i Machaire Rabhartaigh . </s><s> Agus ... tháinig mé ansin go Machaire Uí Rabhartaigh"
"doc#7","a chuir an litir chugam , go raibh mé ceaptha aige mar phríomhoide i Machaire Rabhartaigh . </s><s> Agus ... tháinig mé ansin","go","Machaire Uí Rabhartaigh agus bhí difir millteanach ansin idir Machaire Rabhartaigh , agus na scoltacha eile uilig go"
"doc#7","go Machaire Uí Rabhartaigh agus bhí difir millteanach ansin idir Machaire Rabhartaigh , agus na scoltacha eile uilig","go","léar a raibh mé ann . </s><s> Cad tuige sin ? </s><s> Bhí ... thug mé fá dear an chéad rud , bhí éirim iontach ard ag ceantar Mhachaire"
"doc#7",". </s><s> Agus ... thar rud ar bith eile a thug me fá dear an t-ardchaighdeán éirime a bhí acu . </s><s> Agus ... fuair muid ar aghaidh","go","maith le chéile . </s><s> So , bhí tú i do phríomhoide anois , an raibh ? </s><s> Bhí mé i mo phríomhoide i Machaire Rabhartaigh , bhí . </s><s> Agus"
"doc#7","mo phríomhoide i Machaire Rabhartaigh , bhí . </s><s> Agus beirt mhúinteoirí , beirt againn a bhí ann , agus fuair muid ar aghaidh","go","breá - le cigirí agus le gach duine agus ní raibh trioblóid ariamh agam le páistí nó tuismitheoir i gceantar Mhachaire"
"doc#7",", ar athraigh sé mórán ansin ina dhiadh sin ? </s><s> Níl mé ag caint anois ar cheantar Mhachaire Rabhartaigh , ach ar pháistí","go","ginearálta ? </s><s> Bhuel ... bhuel ... d'' athraigh sé cinnte , d'' athraigh sé go millteanach , déarfainnse gur bhfurast smacht"
"doc#7","Mhachaire Rabhartaigh , ach ar pháistí go ginearálta ? </s><s> Bhuel ... bhuel ... d'' athraigh sé cinnte , d'' athraigh sé","go","millteanach , déarfainnse gur bhfurast smacht a chur ar pháistí suas go dtí naoi gcéad déag is a seachtmhadh , nó mar sin"
"doc#7",", déarfainnse gur bhfurast smacht a chur ar pháistí suas go dtí naoi gcéad déag is a seachtmhadh , nó mar sin - go dtí","go","dtáinig an curriculum úr isteach . </s><s> Cén difir anois a bhí idir an seanchurriculum agus an ceann úr ? </s><s> Bhuel , an"
"doc#7","úr , agus níor chleacht mé ariamh an curriculum úr . </s><s> '' Sé . </s><s> Agus ar shíl tú fhéin ón dóigh ar chleacht tusa gur éirigh","go","maith le na páistí ? </s><s> Go han-mhaith ar fad , ní raibh curriculum úr ar bith cosúil leis an seanmhodh teagaisc a bhí ag"
"doc#7","chleacht mé ariamh an curriculum úr . </s><s> '' Sé . </s><s> Agus ar shíl tú fhéin ón dóigh ar chleacht tusa gur éirigh go maith le na páistí ? </s><s>","Go","han-mhaith ar fad , ní raibh curriculum úr ar bith cosúil leis an seanmhodh teagaisc a bhí ag gabháil , mar tchítear domh"
"doc#7","curriculum úr ar bith cosúil leis an seanmhodh teagaisc a bhí ag gabháil , mar tchítear domh gur chuir an curriculum úr ,","go","dearna sé dochar mór do chúrsaí léinn ins sa tír seo . </s><s> Agus , nuair a bhí sé ... naoi gcéad déag is a seachtmhadh nó mar sin , a"
"doc#7",", nuair a bhí tuairim is ar deich mbliana nó dhá bhliain déag reáchtáilte aige , bhí achan uile dhuine ag tabhairt fá dear","go","raibh easnamh mór i gcúrsaí léinn ins sa tír agus go raibh an caighdeán ar shiúl síos ar fad . </s><s> Agus uair amháin ... </s><s> An raibh"
"doc#7","déag reáchtáilte aige , bhí achan uile dhuine ag tabhairt fá dear go raibh easnamh mór i gcúrsaí léinn ins sa tír agus","go","raibh an caighdeán ar shiúl síos ar fad . </s><s> Agus uair amháin ... </s><s> An raibh sé chomh feiceálach sin go deachaigh an caighdeán"
"doc#7","léinn ins sa tír agus go raibh an caighdeán ar shiúl síos ar fad . </s><s> Agus uair amháin ... </s><s> An raibh sé chomh feiceálach sin","go","deachaigh an caighdeán síos ? </s><s> Oh , bhí sé le feiceáil , cinnte . </s><s> Bhí sé le feiceáil ag na múinteoirí iad fhéin , an dtuigeann"
"doc#7","rud ar bith a fhoghlaim ar a theangaidh , a fhoghlaim de ghlanmheabhair , fiú amháin táblaí nó litriú . </s><s> Bhí siad ag meas","go","raibh sé contráilte , go raibh sé ag déanamh dochar mór don pháiste go gcaithfeadh siad litriú a fhoghlaim ar a"
"doc#7","ar a theangaidh , a fhoghlaim de ghlanmheabhair , fiú amháin táblaí nó litriú . </s><s> Bhí siad ag meas go raibh sé contráilte ,","go","raibh sé ag déanamh dochar mór don pháiste go gcaithfeadh siad litriú a fhoghlaim ar a dteangaidh . </s><s> Agus chuala mé go"
"doc#7",", fiú amháin táblaí nó litriú . </s><s> Bhí siad ag meas go raibh sé contráilte , go raibh sé ag déanamh dochar mór don pháiste","go","gcaithfeadh siad litriú a fhoghlaim ar a dteangaidh . </s><s> Agus chuala mé go minic ... bhí cruinnithe ag na cigirí linn"
"doc#7",", go raibh sé ag déanamh dochar mór don pháiste go gcaithfeadh siad litriú a fhoghlaim ar a dteangaidh . </s><s> Agus chuala mé","go","minic ... bhí cruinnithe ag na cigirí linn de thairbhe an churriculum úir , i dtús ama bhí cruinnithe achan darna achan"
"doc#7","sé ceart ag múinteoir ar bith tabhairt ar pháiste litriú ... focal a litriú , agus an litriú a fhoghlaim ar a dteanga ,","go","dtiocfadh leofa a ghabháil go dtí leabhair agus ... </s><s> Ar mheas sé gur sin ... cur amú ama a bhí ansin ? </s><s> No , mheas seisean gur"
"doc#7","dá mbeadh sé á iarraidh - é fhéin é a fháil amach ... é fhéin a fháil amach as leabhar . </s><s> Ach , an dtuigeann tú , tá sin alright","go","mbeidh siad ... go dtiocfaidh scrúdú nó a leithéid sin , agus go mbeadh páistí istigh agus caidé an dóigh a mbeadh siad"
"doc#7","- é fhéin é a fháil amach ... é fhéin a fháil amach as leabhar . </s><s> Ach , an dtuigeann tú , tá sin alright go mbeidh siad ...","go","dtiocfaidh scrúdú nó a leithéid sin , agus go mbeadh páistí istigh agus caidé an dóigh a mbeadh siad ábalta imeacht"
"doc#7","amach as leabhar . </s><s> Ach , an dtuigeann tú , tá sin alright go mbeidh siad ... go dtiocfaidh scrúdú nó a leithéid sin , agus","go","mbeadh páistí istigh agus caidé an dóigh a mbeadh siad ábalta imeacht go dtí leabhar achan uile am nuair a bheadh siad ag"
"doc#7","ar bith in Éirinn , bhuel , níl siad ábalta ar inse duit , ach nuair a bhí an seanchóras i bhfeidhm , bhí na bailte móra uilig","go","léar ar a dteangaidh acu , ní hé amháin cuid na hÉireann ach cuid na Sasana . </s><s> Tá a fhios agat na rudaí , na tionscail , an áit a"
"doc#7","cuid na hÉireann ach cuid na Sasana . </s><s> Tá a fhios agat na rudaí , na tionscail , an áit a raibh siad is achan rud . </s><s> Bhí sin uilig","go","léar acu , ní raibh sé ag cur amach ná isteach ar na páistí é a fhoghlaim , ach chuir an curriculum úr deireadh uilig go léar"
"doc#7","uilig go léar acu , ní raibh sé ag cur amach ná isteach ar na páistí é a fhoghlaim , ach chuir an curriculum úr deireadh uilig","go","léar leis sin . </s><s> Ar chuir mórán múinteoirí eile in éadan an churriculum úr ? </s><s> Ghlac an chuid is mó de na múinteoirí leis , mar"
"doc#7","ann . </s><s> Agus bhí sé ina chónaí i nGaoth Dobhair san am . </s><s> Sin an cigire Ó Casaide , agus ardscoláire ab ea é . </s><s> Agus thuig seisean","go","maith nuair a tosaíodh ar an churriculum úr , thuig seisean caidé an deireadh a bheadh air , agus níor bhrúigh seisean an"
"doc#7","agus níor bhrúigh seisean an curriculum úr ar dhuine ar bith ariamh . </s><s> Tá cuimhne air ... </s><s> An raibh seisean ... bhí aigesean","go","díreach , mar a déarfá , jab s'' aige a dhéanamh agus a ghabháil isteach go dtí na scoltacha agus amharc cé acu an raibh tú ag"
"doc#7",", nó gramadach nó rud ar bith mar sin . </s><s> Ariamh níor bhuail mé ... ach bhuail mé áit ar bith a raibh páiste á iompar fhéin","go","holc sa scoil , agus ag cur isteach ar pháistí eile , agus ag déanamh rudaí nár chóir dó a dhéanamh . </s><s> Bhéarfainnse sceilp"
"doc#7","a bheith róghéar ar a gclann fhéin , an dtuigeann tú ? </s><s> Coinníonn a gclann cuimhne air , ach an dtuigeann tú , tá siad ag brath","go","ndéanfaidh an múinteoir é . </s><s> Agus ... tchítear domh fhéin gur rud ar dóigh atá ann , nuair a tchíonn múinteoir páiste atá i"
"doc#7","eile agus ag déanamh an rud chontráilte . </s><s> Tchítear domh gur cheart don mhúinteoir ins an am sin tabhairt le fios dó","go","bhfuil sé ag déanamh an rud chontráilte agus má ní sé aríst é , pionós a chur air . </s><s> Do bharúil an bhfágann tuismitheoirí , b''"
"doc#7","an bhfágann tuismitheoirí , b'' fhéidir , barraíocht ag na múinteoirí le déanamh , ó thaobh smachta de ? </s><s> Déarfainn","go","bhfágann anois , mar an chéad rud a bheirim fhéin fá dear anois , má théann tú isteach i dtigh an phobail anois , agus tá"
"doc#7","a dhéanfadh siad é . </s><s> Agus nuair a dhéanfadh siad aríst é , ceann eile a thabhairt daofa , agus ansin thuigfeadh siad fhéin","go","raibh siad ag déanamh an rud contráilte . </s><s> Whereas , táthar a ligean i bhfad barraíocht ... leis na páistí ... </s><s> An síleann tú"
"doc#7","na páistí nó na múinteoirí , an bhfuil siad , an bhfuil a fhios agat , b'' fhéidir , níos leanbaí anois ? </s><s> Bhuel , déarfainn","go","bhfuil na tuismitheoirí níos leanbaí . </s><s> An bhfuil siad níos boige ? </s><s> Sé . </s><s> Tá siad níos boige . </s><s> Agus anois déarfainnse gur"
"doc#7","agus na háiteacha a raibh tú , an áit dheireanach a dúirt tú ná Machaire Rabhartaigh , cá deachaigh tú ina dhiaidh sin ? </s><s>","Go","Cnoc na Naomh i nDoire Chonaill . </s><s> Agus cad tuige ar fhág tú Machaire Uí Rabhartaigh le ghabháil go Doire Chonaill agus tú i"
"doc#7","tú ina dhiaidh sin ? </s><s> Go Cnoc na Naomh i nDoire Chonaill . </s><s> Agus cad tuige ar fhág tú Machaire Uí Rabhartaigh le ghabháil","go","Doire Chonaill agus tú i do phríomhoide i Machaire Rabhartaigh ? </s><s> Bhuel , sa chéad chás dó , an dtuigeann tú , i Machaire Uí"
"doc#7","sin , an dtuigeann tú . </s><s> Tchím . </s><s> Is ní raibh againne ... ní raibh sa scoil ach an bheirt againn , agus bhí an cúntóir a bhí agam ,","go","ndéana Dia a mhaith uirthi , tá sí marbh anois , múinteoir an-mhaith , an-dhíograiseach ar fad a bhí inti , b'' as an Ardaigh"
"doc#7",", b'' as an Ardaigh Bheag í . </s><s> Cé hí sin ? </s><s> Nóra Bn . </s><s> Mhic Grianna , ó , múinteoir ... scothmúinteoir amach a bhí inti , a d'' oibir","go","han-chruaidh , agus ... bhí aicise ... bhí na naíonáin aici agus rang a haon agus rang a dó . </s><s> Agus bhí dornán maith scoláirí"
"doc#7","i scoil dhá oide . </s><s> So , sin an réasún is mó , bhí mé an-sásta ar fad i Machaire Uí Rabhartaigh agus fuair muid ar aghaidh","go","maith . </s><s> Tá sé millteanach trom ag gabháil ó rang amháin go dtí rang eile agus is mór an truaighe go bhfuil a leithéid"
"doc#7","fuair muid ar aghaidh go maith . </s><s> Tá sé millteanach trom ag gabháil ó rang amháin go dtí rang eile agus is mór an truaighe","go","bhfuil a leithéid amhlaidh . </s><s> Ins sna scoltacha móra , an dtuigeann tú , níl agat ach rang amháin , agus ainneoin go bhfuil ,"
"doc#7","go bhfuil a leithéid amhlaidh . </s><s> Ins sna scoltacha móra , an dtuigeann tú , níl agat ach rang amháin , agus ainneoin","go","bhfuil , an dtuigeann tú , dornán maith páistí , b'' fhéidir , ins sa rang sin , níos mó ná a gheobhfá in rang tuaithe , tá sé"
"doc#7",", tá sé níos fusa , mar tá tú ag déanamh an rud amháin leofa uilig . </s><s> Ach nuair atá tú i do rith ó rang amháin go dtí an rang eile -","go","speisialta i scoil aon oide - is doiligh duit tamalt a thabhairt i dtaca le go dtig leat tamalt a thabhairt do pháiste lag ,"
"doc#7","tú i do rith ó rang amháin go dtí an rang eile - go speisialta i scoil aon oide - is doiligh duit tamalt a thabhairt i dtaca le","go","dtig leat tamalt a thabhairt do pháiste lag , is doiligh é a dhéanamh - ní thiocfadh leat é a dhéanamh . </s><s> Agus má tá cúpla"
"doc#7","- ní thiocfadh leat é a dhéanamh . </s><s> Agus má tá cúpla duine acu ins sa rang agat , an dtuigeann tú , tá siad ag cailleadh . </s><s>","Go","raibh maith agat , a Sheáin . </s><s> Sin a bhfuil uaimse tráthnóna inniu . </s><s> Ag ceol sa chlár seo , bhí Lillis Ó Laoire leis '' An Chearc"
"doc#7",". </s><s> Ag ceol sa chlár seo , bhí Lillis Ó Laoire leis '' An Chearc is an Coileach '' agus Máire Nic Guidhir le '' Buachaill ón Éirne '' . </s><s>","Go","dtí an tseachtain seo chugainn , slán agus beannacht . </s><s> Tá fáilte romhaibh , a éisteoirí , chuig eagrán an lae inniu den"
"doc#7","cainte a dhéanamh liom , tá Séamus MacAodha , as paróiste Chloich Chionnaola . </s><s> Tá fáilte romhat isteach , a Shéamuis . </s><s>","Go","raibh míle maith agat . </s><s> Anois , dúirt mé gur as Cloich Chionnaola , is as Fána Bhuí duit ó dhúchas . </s><s> Bhuel , sin an áit ar"
"doc#7","agus ní bhíonn an trácht againn , mar a déarfá , a bheadh ar phríomhbhealtaí eile nó ag bailte eile . </s><s> Agus tá sé galánta","go","speisialta ón taobh sin de , go dtig leat a ghabháil amach tráthnóna agus nach bhfuil le cluinstin agat ach fuaim na"
