Item,Frequency,Relative frequency
"foirmiúil",903,26.28188
"ársa",902,26.25278
"iníoctha",902,26.25278
"léirigh",894,26.01994
"údaraigh",893,25.99083
"infheidhme",892,25.96173
"pós",882,25.67068
"Protastúnach",879,25.58336
"dlíthiúil",876,25.49605
"teann",873,25.40873
"uachtarach",873,25.40873
"tanaí",870,25.32142
"fíochmhar",868,25.26321
"foilsigh",862,25.08858
"críonna",862,25.08858
"réasúnta",860,25.03037
"milis",860,25.03037
"fiúntach",860,25.03037
"dána",857,24.94305
"eagraigh",850,24.73932
"imeartha",849,24.71021
"ramhar",842,24.50647
"cairdiúil",838,24.39005
"taitneamhach",836,24.33184
"buail",836,24.33184
"gann",827,24.06990
"aosta",821,23.89527
"bainteach",820,23.86616
"brónach",817,23.77885
"cúng",813,23.66243
"beacht",811,23.60422
"cliste",810,23.57511
"séimh",810,23.57511
"bródúil",804,23.40048
"codail",791,23.02212
"meiriceán",788,22.93480
"dearfa",784,22.81838
"ainmnigh",783,22.78928
"caoin",779,22.67285
"eolach",775,22.55643
"tais",769,22.38180
"gaolmhar",765,22.26538
"spioradálta",762,22.17807
"leabhair",757,22.03254
"gabh",755,21.97433
"rannpháirteach",753,21.91612
"tugtha",748,21.77060
"mear",744,21.65418
"ceap",741,21.56686
"dóchasach",741,21.56686
"socraigh",739,21.50865
"cláraigh",738,21.47955
"greannmhar",738,21.47955
"compordach",738,21.47955
"dleathach",733,21.33402
"feasach",730,21.24671
"seachtrach",728,21.18850
"beannaigh",728,21.18850
"feic",721,20.98476
"aerach",715,20.81013
"ciontach",713,20.75192
"achomair",712,20.72281
"leictreonach",707,20.57729
"fírinneach",707,20.57729
"clúiteach",702,20.43176
"tromchúiseach",701,20.40266
"treoirlín",700,20.37355
"bídeach",698,20.31534
"tograch",697,20.28624
"docht",696,20.25713
"lách",695,20.22803
"críochnaithe",681,19.82056
"folláin",681,19.82056
"sáigh",681,19.82056
"comhaimseartha",678,19.73324
"plaisteach",677,19.70414
"feiliúnach",674,19.61682
"práinneach",672,19.55861
"inniúil",671,19.52951
"dall",665,19.35488
"baileach",664,19.32577
"comhartha",662,19.26756
"comhaill",661,19.23846
"míshásta",659,19.18025
"clasaiceach",658,19.15114
"sainiúil",657,19.12204
"fionn",657,19.12204
"stuama",656,19.09293
"bréan",656,19.09293
"ealaíonta",652,18.97651
"millteanach",652,18.97651
"maol",652,18.97651
"blasta",650,18.91830
"críochnaigh",649,18.88919
"seachtainiúil",648,18.86009
"cuimhneach",642,18.68546
"cróga",642,18.68546
"ceathrú",641,18.65635
"athraigh",640,18.62725
"Atlantach",640,18.62725
"marfach",638,18.56904
"díomhaoin",636,18.51083
"slachtmhar",636,18.51083
"eaglasta",636,18.51083
"dathúil",632,18.39441
"uirbeach",630,18.33620
"oibrigh",624,18.16157
"singil",624,18.16157
"mol",620,18.04515
"tuisceanach",620,18.04515
"díograiseach",620,18.04515
"tagair",618,17.98694
"príomha",617,17.95783
"stiúir",615,17.89962
"Spáinneach",613,17.84141
"crom",609,17.72499
"righin",608,17.69589
"tionsclaíoch",608,17.69589
"tarraingteach",607,17.66678
"ciallmhar",607,17.66678
"úsáideach",606,17.63768
"tréig",605,17.60857
"dún",605,17.60857
"cineálta",605,17.60857
"báigh",603,17.55036
"fágtha",603,17.55036
"éigeantach",599,17.43394
"toilteanach",598,17.40484
"léigh",598,17.40484
"moltach",596,17.34663
"bunreachtúil",594,17.28842
"cráigh",593,17.25931
"diúltach",592,17.23021
"aireach",591,17.20110
"tachtach",590,17.17200
"eolaíoch",589,17.14289
"glic",583,16.96826
"ceadaithe",583,16.96826
"mithid",581,16.91005
"scar",580,16.88094
"gleoite",580,16.88094
"cruinnigh",579,16.85184
"clúdaigh",578,16.82273
"follasach",577,16.79363
"tubaisteach",574,16.70631
"liosta",572,16.64810
"daor",570,16.58989
"amaideach",569,16.56079
"poblachtach",569,16.56079
"imníoch",567,16.50258
"sóisearach",565,16.44437
"inchurtha",564,16.41526
"suaimhneach",561,16.32795
"fial",560,16.29884
"oilte",558,16.24063
"amhrasach",558,16.24063
"searbh",553,16.09511
"baolach",552,16.06600
"caighdeánach",552,16.06600
"aduaidh",552,16.06600
"samplach",549,15.97869
"sli",547,15.92048
"sonraigh",546,15.89137
"thuasluai",546,15.89137
"millteach",546,15.89137
"indéanta",544,15.83316
"flúirseach",544,15.83316
"sasan",544,15.83316
"comhair",544,15.83316
"aistrigh",542,15.77495
"moch",540,15.71674
"breithiúnach",539,15.68764
"reoigh",537,15.62943
"balbh",535,15.57122
"saolta",533,15.51301
"morálta",527,15.33838
"beannaithe",526,15.30927
"figh",526,15.30927
"scaif",525,15.28017
"gruama",523,15.22196
"iargúlta",522,15.19285
"scaoil",516,15.01822
"bris",516,15.01822
"umhal",515,14.98911
"gearánach",514,14.96001
"fuaigh",513,14.93090
"trácht",513,14.93090
"tosaigh",511,14.87269
"ionraic",510,14.84359
"núicléach",510,14.84359
"líon",508,14.78538
"cathartha",505,14.69806
"nimhneach",502,14.61075
"ceanúil",502,14.61075
"Rómhánach",501,14.58164
"éirigh",500,14.55254
"conspóideach",500,14.55254
"ith",498,14.49433
"rialaigh",498,14.49433
"clois",495,14.40701
"bodhar",495,14.40701
"neamhghnách",493,14.34880
"foirfe",492,14.31970
"gonta",490,14.26149
"cneasta",489,14.23238
"feargach",487,14.17417
"sláintiúil",487,14.17417
"ól",486,14.14507
"ceimiceach",486,14.14507
"caillte",484,14.08686
"borb",481,13.99954
"múinte",481,13.99954
"ait",481,13.99954
"íochtarach",477,13.88312
"páirtaimseartha",475,13.82491
"costasach",475,13.82491
"fuinniúil",474,13.79581
"tarraing",474,13.79581
"ainnis",474,13.79581
"chosan",471,13.70849
"moi",470,13.67939
"cráifeach",470,13.67939
"mídhleathach",467,13.59207
"ordaigh",467,13.59207
"lofa",466,13.56297
"tráthúil",465,13.53386
"Albanach",463,13.47565
"muinteartha",461,13.41744
"ti",461,13.41744
"roinn",459,13.35923
"cam",458,13.33013
"meabhrach",457,13.30102
"béasach",456,13.27192
"proifisiúnta",454,13.21370
"athbhreithnigh",453,13.18460
"buaigh",453,13.18460
"fás",452,13.15549
"dóite",452,13.15549
"údarásach",451,13.12639
"aimsigh",451,13.12639
"réitigh",450,13.09728
"roghnaigh",449,13.06818
"las",448,13.03907
"leamh",448,13.03907
"dochreidte",447,13.00997
"oideachasúil",447,13.00997
"barúlach",445,12.95176
"iomráiteach",440,12.80623
"fonnmhar",437,12.71892
"measúnaigh",436,12.68981
"néata",436,12.68981
"sciob",435,12.66071
"sleamhain",435,12.66071
"úrnua",434,12.63160
"gléas",434,12.63160
"náireach",432,12.57339
"claon",431,12.54429
"glac",430,12.51518
"fiosrach",429,12.48608
"foghlaim",429,12.48608
"gnéasach",429,12.48608
"lonrach",427,12.42787
"togh",426,12.39876
"líonmhar",424,12.34055
"athchóirigh",424,12.34055
"neirbhíseach",422,12.28234
"ionadaigh",422,12.28234
"daoineach",422,12.28234
"croch",421,12.25324
"liobrálach",421,12.25324
"ansa",421,12.25324
"glórach",419,12.19503
"smaointeach",419,12.19503
"síochánta",418,12.16592
"measc",418,12.16592
"scoite",417,12.13682
"misniúil",415,12.07861
"slánaigh",413,12.02040
"feabhsaigh",413,12.02040
"dúthrachtach",411,11.96219
"leasaigh",410,11.93308
"greamaigh",410,11.93308
"araile",407,11.84577
"indíreach",407,11.84577
"maorga",405,11.78756
"dear",404,11.75845
"ilghnéitheach",404,11.75845
"nua-aoiseach",403,11.72935
"sábháil",403,11.72935
"naomh",401,11.67114
"achrannach",401,11.67114
"cónaitheach",401,11.67114
"brocach",400,11.64203
"gealgháireach",400,11.64203
"inghlactha",399,11.61293
"coimhthíoch",399,11.61293
"tréith",399,11.61293
"deimhneach",398,11.58382
"léannta",397,11.55472
"méadaigh",396,11.52561
"aonarach",395,11.49651
"téarmach",394,11.46740
"spreagúil",394,11.46740
"scrúdaigh",394,11.46740
"fileata",392,11.40919
"fónta",392,11.40919
"anoir",391,11.38009
"éalaigh",391,11.38009
"cearnach",385,11.20545
"corr",384,11.17635
"flaithiúil",383,11.14724
"snasta",382,11.11814
"gafa",382,11.11814
"Ultach",381,11.08903
"diaga",380,11.05993
"cún",380,11.05993
"ceannaigh",378,11.00172
"báúil",377,10.97261
"maoinigh",377,10.97261
"fill",377,10.97261
"ceadaigh",375,10.91440
"rathúil",375,10.91440
"corrach",374,10.88530
"eisceachtúil",372,10.82709
"gortaigh",370,10.76888
"comhtháite",369,10.73977
"geall",368,10.71067
"feiceálach",366,10.65246
"torthúil",365,10.62335
"bradach",364,10.59425
"ingearach",363,10.56514
"míosúil",362,10.53604
"fóirsteanach",362,10.53604
"diamhair",361,10.50693
"breoigh",360,10.47783
"cinniúnach",359,10.44872
"dainséarach",358,10.41962
"cabhrach",357,10.39051
"measartha",357,10.39051
"scrios",356,10.36141
"seasta",354,10.30320
"caomhnaigh",352,10.24499
"cis",351,10.21588
"muiníneach",351,10.21588
"soineanta",349,10.15767
"croíúil",349,10.15767
"seasmhach",349,10.15767
"aineolach",348,10.12857
"seafóideach",346,10.07036
"réal",346,10.07036
"adamhach",345,10.04125
"meáigh",344,10.01215
"seas",344,10.01215
"samhailteach",342,9.95394
"traoch",342,9.95394
"cumhra",342,9.95394
"suaithinseach",341,9.92483
"réadúil",340,9.89573
"neodrach",340,9.89573
"sámh",340,9.89573
"díol",339,9.86662
"leabhar",338,9.83752
"intuigthe",338,9.83752
"tostach",338,9.83752
"tomhaiste",336,9.77931
"ardaigh",336,9.77931
"maisigh",335,9.75020
"ceolmhar",335,9.75020
"sollúnta",335,9.75020
"téigh",333,9.69199
"solúbtha",333,9.69199
"réabhlóideach",333,9.69199
"duairc",332,9.66289
"iomadúil",332,9.66289
"comhthreomhar",330,9.60468
"Giúdach",330,9.60468
"éagórach",329,9.57557
"magúil",328,9.54647
"imeallach",328,9.54647
"comhfhreagrach",327,9.51736
"líofa",326,9.48826
"leasc",326,9.48826
"uatha",325,9.45915
"grámhar",324,9.43004
"dúshlánach",324,9.43004
"cruthaigh",324,9.43004
"rúndiamhair",323,9.40094
"brúigh",322,9.37183
"corraitheach",322,9.37183
"glé",321,9.34273
"téagartha",320,9.31362
"contráilte",320,9.31362
"seicteach",319,9.28452
"intíre",319,9.28452
"fiosraigh",319,9.28452
"iolra",318,9.25541
"mealltach",317,9.22631
"margaíoch",317,9.22631
"rannpháirti",316,9.19720
"tapúil",316,9.19720
"tairbheach",315,9.16810
"ranníocach",315,9.16810
"caoch",315,9.16810
"allta",314,9.13899
"nocht",312,9.08078
"dícheallach",312,9.08078
"scanrúil",312,9.08078
"dealraitheach",312,9.08078
"onórach",311,9.05168
"teibí",311,9.05168
"gléasta",309,8.99347
"eachtrannach",308,8.96436
"aibí",308,8.96436
"dubhach",308,8.96436
"trialach",307,8.93526
"glórmhar",306,8.90615
"teolaí",306,8.90615
"tofa",306,8.90615
"faiteach",305,8.87705
"dligh",305,8.87705
"sínigh",305,8.87705
"truailligh",305,8.87705
"meidhreach",304,8.84794
"leochaileach",303,8.81884
"bándearg",303,8.81884
"neamhchoitianta",302,8.78973
"intleacht",301,8.76063
"imir",301,8.76063
"siamsaíoch",301,8.76063
"trócaireach",300,8.73152
"corcra",300,8.73152
"siúráilte",300,8.73152
"amh",300,8.73152
"críochnaitheach",299,8.70242
"goirt",299,8.70242
"foirmeál",297,8.64421
"foighneach",297,8.64421
"naimhdeach",297,8.64421
"fuilteach",295,8.58600
"leadránach",295,8.58600
"folc",295,8.58600
"comhaontai",295,8.58600
"laghdaigh",294,8.55689
"airgeadaíoch",290,8.44047
"tuairimeach",290,8.44047
"faiseanta",290,8.44047
"dearóil",289,8.41137
"santach",288,8.38226
"criticiúil",287,8.35316
"fadálach",287,8.35316
"éachtach",286,8.32405
"doiléir",286,8.32405
"coimeádach",286,8.32405
"iodálach",285,8.29495
"scanraigh",285,8.29495
"dóigh",284,8.26584
"diongbháilte",284,8.26584
"iomarcach",284,8.26584
"lea",283,8.23674
"corpraigh",282,8.20763
"substaintiúil",282,8.20763
"ceadmhach",281,8.17853
"iata",280,8.14942
"aimseartha",280,8.14942
"leisciúil",280,8.14942
"lochtach",278,8.09121
"ionsaigh",278,8.09121
"áiféiseach",278,8.09121
"tiomanta",277,8.06211
"fabhrach",275,8.00390
"grean",275,8.00390
"fionnuar",275,8.00390
"comónta",275,8.00390
"dúbailte",273,7.94569
"bacach",272,7.91658
"sáil",272,7.91658
"áisiúil",271,7.88748
"fach",271,7.88748
"logánta",270,7.85837
"spleodrach",270,7.85837
"líomh",269,7.82927
"glún",269,7.82927
"cúthail",268,7.80016
"Oráisteach",268,7.80016
"damanta",268,7.80016
"glinn",267,7.77106
"dúr",266,7.74195
"collaí",266,7.74195
"scaipthe",265,7.71285
"anaithnid",265,7.71285
"mífhoighneach",263,7.65464
"iontaofa",263,7.65464
"éiginnte",263,7.65464
"righ",262,7.62553
"mionsonrai",262,7.62553
"neamhurchóideach",260,7.56732
"plódaigh",260,7.56732
"meánaos",260,7.56732
"comhfhiosach",259,7.53821
"leithleach",259,7.53821
"craol",259,7.53821
"doicheallach",258,7.50911
"éifeachtúil",258,7.50911
"orgánach",257,7.48000
"cáiréiseach",257,7.48000
"eitneach",257,7.48000
"mill",254,7.39269
"méith",253,7.36358
"íon",253,7.36358
"groí",253,7.36358
"róst",252,7.33448
"dlisteanach",252,7.33448
"ionadach",250,7.27627
"súgach",250,7.27627
"measúil",249,7.24716
"tánaisteach",249,7.24716
"maslach",249,7.24716
"íosta",249,7.24716
"clárach",248,7.21806
"lúfar",248,7.21806
"taobhach",247,7.18895
"oil",247,7.18895
"scaip",246,7.15985
"crochta",246,7.15985
"beathach",245,7.13074
"inmhianai",245,7.13074
"tur",245,7.13074
"meánach",244,7.10164
"príomhúil",243,7.07253
"meisciúil",242,7.04343
"sóivéadach",242,7.04343
"seolta",242,7.04343
"radacach",242,7.04343
"seoigh",242,7.04343
"eisigh",241,7.01432
"mothálach",241,7.01432
"leomh",240,6.98522
"ceil",240,6.98522
"seol",238,6.92701
"gallda",238,6.92701
"aigéadach",237,6.89790
"póilíneach",237,6.89790
"mallaigh",237,6.89790
"uaine",236,6.86880
"iompaigh",236,6.86880
"aman",236,6.86880
"éirimiúil",234,6.81059
"meicniúil",234,6.81059
"rite",233,6.78148
"roghnach",233,6.78148
"feidhmiúil",232,6.75238
"comhdhlúite",232,6.75238
"ceannasach",232,6.75238
"ciorclach",231,6.72327
"saonta",231,6.72327
"mórálach",230,6.69417
"fuarchúiseach",230,6.69417
"saothraigh",230,6.69417
"dealbh",230,6.69417
"fan",228,6.63596
"bruite",227,6.60685
"básaigh",226,6.57775
"íogair",226,6.57775
"cráite",226,6.57775
"fann",225,6.54864
"fóinteach",225,6.54864
"feistigh",225,6.54864
"deighil",225,6.54864
"tragóideach",225,6.54864
"banda",225,6.54864
"deireann",225,6.54864
"marcáil",224,6.51954
"dodhéanta",224,6.51954
"bhái",224,6.51954
"folaigh",223,6.49043
"cantalach",223,6.49043
"barbartha",222,6.46133
"ciste",222,6.46133
"ciotach",221,6.43222
"seasc",221,6.43222
"fóin",220,6.40312
"dil",219,6.37401
"cearr",219,6.37401
"cuar",218,6.34491
"cliathánach",217,6.31580
"catach",217,6.31580
"saorga",217,6.31580
"coill",216,6.28670
"chuntasaíoch",216,6.28670
"sciobtha",216,6.28670
"soghluaiste",216,6.28670
"corparáideach",215,6.25759
"ubhchruthach",215,6.25759
"casl",214,6.22849
"aclaí",214,6.22849
"fadtéarm",214,6.22849
"idéalach",213,6.19938
"ciníoch",213,6.19938
"coinnigh",212,6.17028
"geanúil",212,6.17028
"forordai",211,6.14117
"leacach",211,6.14117
"siombalach",211,6.14117
"cleithiúnach",210,6.11207
"sáraigh",210,6.11207
"scáfar",209,6.08296
"pras",209,6.08296
"ornáideach",209,6.08296
"cearnógach",209,6.08296
"oibiachtúil",209,6.08296
"mórtasach",208,6.05386
"ullmhaigh",207,6.02475
"inis",206,5.99565
"múch",206,5.99565
"samhlaíoch",206,5.99565
"baininscneach",206,5.99565
"cáin",206,5.99565
"brúidiúil",206,5.99565
"mí-ámharach",205,5.96654
"teasaí",205,5.96654
"aduain",205,5.96654
"grianmhar",205,5.96654
"uaibhreach",205,5.96654
"meall",205,5.96654
"géarchúiseach",204,5.93744
"cuntasaíoch",204,5.93744
"clis",204,5.93744
"litearthach",204,5.93744
"pianmhar",203,5.90833
"ceantrach",203,5.90833
"chún",203,5.90833
"múin",202,5.87923
"suáilceach",201,5.85012
"druidte",201,5.85012
"bhunai",201,5.85012
"coibhneasta",201,5.85012
"seanbhunai",200,5.82102
"truamhéalach",200,5.82102
"cothromán",199,5.79191
"lig",199,5.79191
"leitheadach",198,5.76281
"tochail",197,5.73370
"críochnúil",196,5.70460
"matamaiticiúil",195,5.67549
"comhordaigh",195,5.67549
"cuspóireach",195,5.67549
"cothaigh",195,5.67549
"ginideach",194,5.64638
"lean",194,5.64638
"fealltach",194,5.64638
"cros",193,5.61728
"bagrach",192,5.58817
"treorach",192,5.58817
"fáilteach",191,5.55907
"ocrach",191,5.55907
"inmholta",191,5.55907
"urraigh",190,5.52996
"díobhálach",189,5.50086
"suaith",189,5.50086
"ídigh",189,5.50086
"réalta",189,5.50086
"substainteach",188,5.47175
"cóirigh",188,5.47175
"dóighiúil",187,5.44265
"cleachtai",187,5.44265
"briosc",187,5.44265
"chaoin",187,5.44265
"toll",187,5.44265
"sáinnigh",187,5.44265
"cloíte",187,5.44265
"crainn",187,5.44265
"cruálach",187,5.44265
"aontachtai",186,5.41354
"shonrai",186,5.41354
"diomai",186,5.41354
"shli",185,5.38444
"drámata",184,5.35533
"taifead",184,5.35533
"gnoi",184,5.35533
"si",183,5.32623
"Preispitéireach",183,5.32623
"snoigh",183,5.32623
"barrúil",183,5.32623
"lae",182,5.29712
"ceiliúir",181,5.26802
"firinscneach",181,5.26802
"oibriú",181,5.26802
"pléisiúrtha",180,5.23891
"mínigh",180,5.23891
"comhdhéan",180,5.23891
"craiceáil",179,5.20981
"deimhnigh",179,5.20981
"nigh",179,5.20981
"giorraisc",179,5.20981
"maisiúil",179,5.20981
"meánaicmeach",178,5.18070
"seanchaite",178,5.18070
"searbhasach",178,5.18070
"uilíoch",178,5.18070
"céasta",178,5.18070
"tógálach",178,5.18070
"trédhearcach",177,5.15160
"corraithe",177,5.15160
"lobh",177,5.15160
"méanar",176,5.12249
"comhlánaigh",176,5.12249
"rábach",176,5.12249
"sotalach",176,5.12249
"seang",175,5.09339
"Conallach",175,5.09339
"marthanach",175,5.09339
"craoltóireach",175,5.09339
"srian",174,5.06428
"leice",174,5.06428
"foscail",174,5.06428
"éadóchasach",173,5.03518
"cháili",173,5.03518
"chlárai",173,5.03518
"mallaithe",172,5.00607
"nasc",172,5.00607
"spriocdhá",172,5.00607
"bronn",172,5.00607
"cleachtach",172,5.00607
"ceartingear",172,5.00607
"mamach",171,4.97697
"duilleach",171,4.97697
"airdeallach",170,4.94786
"bisiúil",170,4.94786
"adhlaic",170,4.94786
"géiniteach",170,4.94786
"mheiriceán",169,4.91876
"reiligiúnach",169,4.91876
"mánla",168,4.88965
"mínádúrtha",168,4.88965
"míorúilteach",168,4.88965
"goilliúnach",168,4.88965
"carthanach",168,4.88965
"míshuaimhneach",168,4.88965
"ainmneach",168,4.88965
"cruthanta",167,4.86055
"eatramhach",167,4.86055
"pléigh",167,4.86055
"cumann",166,4.83144
"tearc",166,4.83144
"grod",166,4.83144
"rómáns",166,4.83144
"léanmhar",166,4.83144
"triomaigh",166,4.83144
"dothuigthe",165,4.80234
"faide",165,4.80234
"geilleagrach",165,4.80234
"daoi",165,4.80234
"táirg",165,4.80234
"dáil",164,4.77323
"sroich",164,4.77323
"bailí",164,4.77323
"cainteach",163,4.74413
"leáigh",163,4.74413
"torrach",163,4.74413
"sármhaith",162,4.71502
"tarlaigh",162,4.71502
"craobhach",161,4.68592
"aonraic",161,4.68592
