"corpus","gaeilge2"
"subcorpus","-"
"ceantar",14237,414.36898
"údarás",14218,413.81598
"trí",14162,412.18610
"gá",14161,412.15699
"cluiche",13749,400.16570
"Seán",13474,392.16180
"conradh",13452,391.52149
"of",13421,390.61924
"ionad",13239,385.32211
"uisce",13126,382.03324
"sé",12793,372.34125
"oileán",12766,371.55541
"leithéid",12664,368.58669
"cúpla",12544,365.09408
"oideachas",12526,364.57019
"aois",12311,358.31260
"oiread",12079,351.56022
"ball",11963,348.18403
"páirtí",11882,345.82652
"cúirt",11758,342.21749
"cathair",11713,340.90776
"máthair",11598,337.56068
"doras",11541,335.90169
"sampla",11532,335.63975
"oifig",11505,334.85391
"cineál",11358,330.57546
"bun",11350,330.34262
"mór",11346,330.22620
"cos",11160,324.81266
"céad",11092,322.83351
"post",11023,320.82526
"córas",11013,320.53421
"airteagal",11007,320.35958
"croí",11003,320.24316
"mórán",10956,318.87522
"barr",10717,311.91911
"tréimhse",10658,310.20191
"imeacht",10540,306.76751
"caith",10481,305.05031
"cúis",10331,300.68455
"réir",10316,300.24797
"deis",10309,300.04424
"saothar",10267,298.82182
"cuma",10256,298.50167
"measc",10226,297.62852
"coiste",10221,297.48299
"Eoraip",10079,293.35007
"aimsir",10052,292.56423
"maidin",10048,292.44781
"scríobh",10030,291.92392
"uile",10028,291.86571
"toradh",10015,291.48734
"breis",9887,287.76189
"timpeall",9833,286.19022
"tosach",9807,285.43349
"fuil",9805,285.37528
"tuairim",9773,284.44392
"béarla",9752,283.83271
"ealaín",9745,283.62897
"láthair",9745,283.62897
"comhlacht",9742,283.54166
"domhan",9710,282.61030
"caoi",9678,281.67893
"dán",9676,281.62072
"meán",9643,280.66026
"cáin",9622,280.04905
"feic",9612,279.75800
"each",9567,278.44827
"sráid",9564,278.36095
"gnó",9562,278.30274
"dáil",9542,277.72064
"tamall",9465,275.47955
"Máire",9428,274.40266
"tí",9419,274.14072
"iarratas",9362,272.48173
"múinteoir",9303,270.76453
"Gaillimh",9279,270.06601
"cara",9276,269.97869
"seomra",9273,269.89138
"iarracht",9032,262.87705
"nós",9003,262.03301
"rí",8924,259.73371
"slí",8902,259.09339
"ann",8871,258.19114
"míle",8832,257.05604
"Dé",8819,256.67767
"iúl",8770,255.25152
"dlí",8764,255.07689
"Pádraig",8748,254.61121
"grúpa",8729,254.05822
"coláiste",8704,253.33059
"linn",8650,251.75891
"fáth",8641,251.49697
"déag",8613,250.68203
"treo",8613,250.68203
"fadhb",8602,250.36187
"sláinte",8508,247.62599
"coinne",8504,247.50957
"cúl",8494,247.21852
"sagart",8429,245.32669
"Eorpach",8410,244.77370
"sórt",8410,244.77370
"mír",8373,243.69681
"cead",8367,243.52218
"gach",8359,243.28934
"glac",8329,242.41618
"bonn",8304,241.68856
"scéim",8180,238.07953
"seans",8159,237.46832
"fómhar",8133,236.71159
"cogadh",8009,233.10256
"gabh",7982,232.31672
"don",7917,230.42489
"amhrán",7910,230.22116
"dún",7909,230.19205
"and",7858,228.70769
"lacha",7833,227.98007
"cailín",7825,227.74723
"gaoth",7737,225.18598
"céim",7733,225.06956
"lán",7729,224.95314
"bia",7685,223.67252
"dream",7664,223.06131
"tráth",7603,221.28590
"clann",7600,221.19858
"leanbh",7571,220.35454
"cé",7566,220.20901
"leas",7551,219.77243
"fonn",7550,219.74333
"stair",7545,219.59780
"ard",7535,219.30675
"críoch",7524,218.98660
"brí",7521,218.89928
"ollscoil",7497,218.20076
"ceannas",7492,218.05524
"cúram",7471,217.44403
"roinnt",7394,215.20294
"meas",7376,214.67905
"ár",7371,214.53352
"cúig",7342,213.68947
"loch",7336,213.51484
"rith",7258,211.24465
"athrú",7235,210.57523
"forbairt",7217,210.05134
"leibhéal",7211,209.87671
"cumhacht",7205,209.70208
"imigh",7175,208.82893
"toisc",7172,208.74161
"bád",7145,207.95577
"grá",7107,206.84978
"crann",7034,204.72511
"tacaíocht",6986,203.32807
"páirt",6955,202.42581
"farraige",6952,202.33849
"líon",6937,201.90192
"cloch",6918,201.34892
"éirigh",6877,200.15561
"comórtas",6797,197.82721
"solas",6795,197.76900
"foirm",6774,197.15779
"John",6730,195.87717
"tuaisceart",6711,195.32417
"teideal",6708,195.23686
"litir",6698,194.94580
"gné",6685,194.56744
"plean",6681,194.45102
"suim",6648,193.49055
"páirc",6640,193.25771
"maith",6625,192.82113
"Cill",6619,192.64650
"beatha",6615,192.53008
"teaghlach",6599,192.06440
"bunaigh",6576,191.39499
"bó",6567,191.13304
"Mór",6553,190.72557
"rogha",6542,190.40541
"aithne",6541,190.37631
"pointe",6522,189.82331
"leag",6519,189.73600
"cumas",6515,189.61958
"cuairt",6505,189.32852
"léann",6503,189.27031
"Feirste",6502,189.24121
"Sasana",6488,188.83374
"Tomás",6487,188.80463
"dath",6482,188.65911
"file",6465,188.16432
"im",6436,187.32027
"laghad",6402,186.33070
"féile",6390,185.98144
"Breatain",6298,183.30377
"aontas",6294,183.18735
"cumann",6284,182.89630
"gníomh",6254,182.02315
"forbair",6237,181.52836
"úd",6208,180.68432
"comhphobal",6190,180.16043
"fág",6187,180.07311
"freagra",6181,179.89848
"pléigh",6162,179.34548
"arm",6157,179.19996
"buachaill",6153,179.08354
"dáta",6152,179.05443
"Domhnach",6151,179.02533
"dul",6148,178.93801
"éigean",6139,178.67607
"amhras",6137,178.61786
"lár",6120,178.12307
"grian",6119,178.09396
"píosa",6111,177.86112
"clog",6100,177.54097
"líne",6099,177.51186
"tráthnóna",6059,176.34766
"rang",6045,175.94019
"samhradh",6044,175.91108
"Liam",6012,174.97972
"Uimh",5996,174.51404
"dúchas",5985,174.19388
"turas",5980,174.04836
"gael",5958,173.40805
"Lá",5953,173.26252
"labhair",5926,172.47669
"tóg",5913,172.09832
"tuairisc",5902,171.77816
"féach",5898,171.66174
"cuimhne",5887,171.34159
"beith",5872,170.90501
"ocht",5868,170.78859
"riail",5850,170.26470
"Meiriceá",5847,170.17738
"at",5832,169.74081
"fógra",5830,169.68260
"páipéar",5823,169.47886
"beart",5818,169.33334
"téarma",5816,169.27513
"sraith",5781,168.25645
"treoir",5776,168.11092
"léamh",5766,167.81987
"tine",5747,167.26688
"fan",5700,165.89894
"inis",5695,165.75341
"coinnigh",5691,165.63699
"áireamh",5686,165.49147
"craobh",5659,164.70563
"corp",5658,164.67652
"oifigeach",5658,164.67652
"Fiann",5657,164.64742
"mian",5624,163.68695
"cultúr",5603,163.07575
"deara",5571,162.14438
"siopa",5568,162.05707
"Éireannach",5561,161.85333
"foghlaim",5552,161.59139
"reacht",5495,159.93240
"lorg",5491,159.81598
"intinn",5468,159.14656
"polasaí",5436,158.21520
"aon",5436,158.21520
"capall",5419,157.72041
"scannán",5402,157.22562
"gníomhaíocht",5392,156.93457
"bua",5379,156.55621
"údar",5378,156.52710
"leaba",5371,156.32337
"fás",5358,155.94500
"tuismitheoir",5350,155.71216
"seas",5339,155.39201
"teilifís",5337,155.33379
"tagairt",5313,154.63527
"rún",5308,154.48975
"eagla",5298,154.19870
"baint",5290,153.96586
"ainneoin",5262,153.15091
"garda",5243,152.59792
"comhalta",5236,152.39418
"raidió",5217,151.84119
"éadach",5208,151.57924
"tionchar",5205,151.49192
"aird",5174,150.58967
"fáilte",5164,150.29862
"eagraíocht",5164,150.29862
"breathnaigh",5157,150.09488
"aer",5117,148.93068
"beagán",5112,148.78515
"dráma",5107,148.63963
"pictiúr",5093,148.23216
"caighdeán",5091,148.17395
"luach",5089,148.11574
"airgeadas",5084,147.97021
"soláthair",5042,146.74780
"coinníoll",5029,146.36943
"sliabh",5026,146.28212
"trácht",4989,145.20523
"tarraing",4982,145.00149
"fírinne",4980,144.94328
"foinse",4976,144.82686
"ré",4971,144.68134
"neart",4969,144.62313
"comhar",4959,144.33208
"uachtarán",4917,143.10966
"toil",4900,142.61488
"modh",4893,142.41114
"scríbhneoir",4888,142.26562
"triúr",4886,142.20741
"íoc",4857,141.36336
"Nollaig",4818,140.22826
"scrúdú",4816,140.17005
"ól",4769,138.80211
"Peadar",4764,138.65659
"iontas",4762,138.59838
"smaoineamh",4741,137.98717
"Irish",4736,137.84164
"cuideachta",4731,137.69612
"creideamh",4729,137.63791
"aonar",4724,137.49238
"filíocht",4701,136.82297
"cuntas",4701,136.82297
"Fál",4692,136.56102
"Frainc",4686,136.38639
"deich",4669,135.89160
"baol",4667,135.83339
"tiarna",4665,135.77518
"Ina",4622,134.52367
"díol",4609,134.14530
"parlaimint",4589,133.56320
"deoch",4583,133.38857
"ór",4577,133.21394
"greim",4555,132.57362
"carr",4555,132.57362
"staidéar",4549,132.39899
"suíomh",4540,132.13705
"teacht",4528,131.78779
"má",4511,131.29300
"dalta",4510,131.26390
"leath",4496,130.85643
"comhair",4480,130.39074
"deo",4478,130.33253
"faisnéis",4476,130.27432
"port",4471,130.12880
"costas",4467,130.01238
"fianaise",4466,129.98327
"droim",4465,129.95417
"anam",4433,129.02281
"leagan",4426,128.81907
"ócáid",4395,127.91681
"pleanáil",4389,127.74218
"fíor",4382,127.53845
"tuath",4375,127.33471
"dochtúir",4351,126.63619
"saor",4342,126.37424
"ciall",4338,126.25782
"oidhreacht",4326,125.90856
"brath",4311,125.47199
"cruinniú",4301,125.18094
"tuill",4281,124.59883
"abhainn",4279,124.54062
"leigheas",4264,124.10405
"airde",4257,123.90031
"uimhir",4249,123.66747
"buail",4230,123.11447
"foras",4226,122.99805
"spéis",4220,122.82342
"dualgas",4213,122.61969
"Máirtín",4206,122.41595
"cabhair",4196,122.12490
"próiseas",4195,122.09580
"díreach",4190,121.95027
"iníon",4188,121.89206
"spórt",4188,121.89206
"fostaíocht",4173,121.45549
"teagasc",4166,121.25175
"banc",4158,121.01891
"gleann",4156,120.96070
"litríocht",4149,120.75696
"polaitíocht",4140,120.49502
"réim",4118,119.85471
"ráiteas",4118,119.85471
"iarthar",4117,119.82560
"léirigh",4108,119.56366
"guth",4096,119.21439
"gnáth",4077,118.66140
"seol",4071,118.48677
"slua",4070,118.45766
"dochar",4069,118.42856
"imir",4059,118.13751
"cinneadh",4051,117.90467
"nuachtán",4051,117.90467
"radharc",4050,117.87556
"cion",4048,117.81735
"Tom",4041,117.61362
"margadh",4017,116.91509
"comhaontú",4005,116.56583
"diabhal",4000,116.42031
"toghchán",3987,116.04194
"freastail",3986,116.01284
"óg",3980,115.83821
"socrú",3979,115.80910
"Tadhg",3978,115.78000
"feachtas",3976,115.72179
"club",3974,115.66358
"deartháir",3966,115.43073
"formhór",3960,115.25610
"ceap",3954,115.08147
"athraigh",3949,114.93595
"ordú",3949,114.93595
"bláth",3949,114.93595
"nuacht",3947,114.87774
"riachtanas",3943,114.76132
"fuinneog",3939,114.64490
"teorainn",3932,114.44116
"tuiscint",3927,114.29564
"seacht",3917,114.00459
"suíochán",3914,113.91727
"malairt",3913,113.88817
"nóiméad",3910,113.80085
"ainmhí",3902,113.56801
"áis",3900,113.50980
"caibidil",3885,113.07322
"feabhas",3883,113.01501
"carraig",3868,112.57844
"taca",3863,112.43291
"taisteal",3850,112.05455
"trá",3840,111.76349
"stiúrthóir",3837,111.67618
"Aoine",3837,111.67618
"cumarsáid",3832,111.53065
"feidhmigh",3820,111.18139
"San",3813,110.97766
"Breandán",3807,110.80303
"cnoc",3806,110.77392
"cosain",3804,110.71571
"taighde",3793,110.39556
"imreoir",3790,110.30824
"glúin",3784,110.13361
"earra",3779,109.98809
"aigne",3779,109.98809
"aonad",3763,109.52240
"deas",3758,109.37688
"dúil",3758,109.37688
"saghas",3757,109.34777
"duais",3752,109.20225
"tábhacht",3746,109.02762
"iomlán",3731,108.59104
"oireachtas",3726,108.44552
"troid",3723,108.35820
"Satharn",3722,108.32910
"geall",3714,108.09626
"mála",3711,108.00894
"dearmad",3710,107.97983
"caisleán",3707,107.89252
"Naomh",3705,107.83431
"balla",3695,107.54326
"saighdiúir",3684,107.22310
"bealtaine",3664,106.64100
"síocháin",3662,106.58279
"taithí",3657,106.43727
"nóta",3657,106.43727
"institiúid",3654,106.34995
"Conaill",3654,106.34995
"Gall",3635,105.79695
"cuspóir",3618,105.30217
"vóta",3605,104.92380
"scil",3604,104.89470
"stáisiún",3604,104.89470
"glór",3601,104.80738
"tuig",3595,104.63275
"imní",3592,104.54544
"Colm",3592,104.54544
"Bain",3585,104.34170
"ceannaire",3582,104.25439
"eaglais",3573,103.99244
"bainisteoir",3572,103.96333
"cathaoirleach",3565,103.75960
"deontas",3556,103.49765
"eolaíocht",3542,103.09018
"ospidéal",3540,103.03197
"teachta",3540,103.03197
"bille",3537,102.94466
"cill",3536,102.91555
"teagmháil",3534,102.85734
"iasc",3532,102.79913
"comhrá",3522,102.50808
"foirgneamh",3519,102.42077
"tionscal",3503,101.95508
"Eoin",3499,101.83866
"ó",3498,101.80956
"tada",3488,101.51851
"tuarascáil",3488,101.51851
"rialachán",3485,101.43119
"meitheamh",3482,101.34388
"céanna",3482,101.34388
"cloigeann",3477,101.19835
"aidhm",3474,101.11104
"paróiste",3473,101.08193
"gáire",3467,100.90730
"cló",3458,100.64536
"buíochas",3455,100.55804
"amharc",3454,100.52894
"Ros",3453,100.49983
"eachtra",3451,100.44162
"beag",3443,100.20878
"Bríd",3439,100.09236
"éan",3434,99.94683
"éist",3433,99.91773
"adhmad",3432,99.88862
"scríbhinn",3421,99.56847
"beo",3413,99.33563
"spéir",3407,99.16100
"scór",3389,98.63711
"gáir",3359,97.76395
"ioncam",3359,97.76395
"Conamara",3357,97.70574
"iompair",3356,97.67664
"leathanach",3355,97.64753
"ráta",3348,97.44380
"milliún",3335,97.06543
"Londain",3319,96.59975
"liosta",3317,96.54154
"timpeallacht",3296,95.93033
"leasaigh",3293,95.84302
"dó",3284,95.58107
"gearán",3279,95.43555
"easpa",3271,95.20271
"galar",3270,95.17360
"gasúr",3261,94.91166
"Clár",3260,94.88255
"deacracht",3258,94.82434
"oiliúint",3255,94.73703
"caidreamh",3249,94.56239
"gcrích",3248,94.53329
"domhain",3242,94.35866
"gaol",3241,94.32955
"coimeád",3235,94.15492
"Márta",3228,93.95119
"iarrthóir",3224,93.83477
"Doire",3218,93.66014
"bosca",3217,93.63103
"aitheantas",3212,93.48551
"peil",3206,93.31088
"éineacht",3194,92.96162
"traidisiún",3189,92.81609
"Maigh",3185,92.69967
"réimse",3181,92.58325
"Luan",3179,92.52504
"dáiríre",3176,92.43772
"caiteachas",3171,92.29220
"punt",3170,92.26309
"ceangal",3169,92.23399
"poll",3159,91.94294
"gluaiseacht",3152,91.73920
"cóir",3151,91.71010
"iúil",3148,91.62278
"poblacht",3146,91.56457
"beartas",3145,91.53547
"cath",3136,91.27352
"urlár",3131,91.12800
"seasamh",3116,90.69142
"tóir",3114,90.63321
"fuinneamh",3113,90.60410
"béim",3110,90.51679
"éisteacht",3101,90.25484
"siúl",3097,90.13842
"réitigh",3096,90.10932
"Muire",3095,90.08021
"cothrom",3080,89.64364
"cál",3078,89.58543
"aithin",3078,89.58543
"bainistíocht",3076,89.52722
"Corcaigh",3066,89.23617
"comhartha",3053,88.85780
"ceannaigh",3046,88.65406
"Uladh",3035,88.33391
"bunscoil",3033,88.27570
"brú",3029,88.15928
"cinn",3028,88.13017
"scoláire",3026,88.07196
"eas",3026,88.07196
"Séamas",3023,87.98465
"cinntigh",3012,87.66449
"Coimisiún",3006,87.48986
"Aibreán",2999,87.28613
"buille",2990,87.02418
"dóthain",2987,86.93686
"máistir",2978,86.67492
"lig",2969,86.41297
"éifeacht",2956,86.03461
"léiriú",2955,86.00550
"níl",2952,85.91819
"uasal",2942,85.62714
"fórsa",2939,85.53982
"Ballstáit",2938,85.51072
"ord",2936,85.45251
"comhdháil",2932,85.33609
"taoiseach",2930,85.27788
"fostaí",2922,85.04503
"IO",2921,85.01593
"madra",2916,84.87040
"seilbh",2915,84.84130
"óige",2913,84.78309
"sliocht",2900,84.40472
"bailigh",2894,84.23009
"laoch",2893,84.20099
"comhairleoir",2888,84.05546
"fine",2876,83.70620
"Síle",2874,83.64799
"long",2867,83.44426
"gloine",2865,83.38605
"breithiúnas",2861,83.26962
"ith",2861,83.26962
"beir",2859,83.21141
"cruthaigh",2850,82.94947
"Dara",2845,82.80394
"craiceann",2843,82.74573
"Eaglais",2836,82.54200
"tionscadal",2835,82.51289
"Brian",2835,82.51289
"on",2835,82.51289
"cuimhin",2832,82.42558
"iamh",2830,82.36737
"iasacht",2826,82.25095
"leasú",2821,82.10542
"limistéar",2819,82.04721
"Nollag",2818,82.01811
"Eanáir",2813,81.87258
"cósta",2812,81.84348
"babhta",2811,81.81437
"éileamh",2810,81.78527
"cosc",2807,81.69795
"ionadh",2799,81.46511
"méad",2791,81.23227
"aíocht",2788,81.14495
"tionscnamh",2787,81.11585
"amp",2786,81.08674
"cóip",2784,81.02853
"tae",2782,80.97032
"cáilíocht",2776,80.79569
"bróg",2770,80.62106
"luaigh",2766,80.50464
"breith",2761,80.35912
"rás",2760,80.33001
"áthas",2745,79.89344
"cruth",2742,79.80612
"Gearmáin",2733,79.54417
"dírigh",2732,79.51507
"taispeántas",2726,79.34044
"téacs",2725,79.31133
"feirm",2719,79.13670
"Michael",2719,79.13670
"gníomhaigh",2719,79.13670
"Pól",2717,79.07849
"muir",2715,79.02028
"seal",2715,79.02028
"teast",2709,78.84565
"ionsaí",2709,78.84565
"iris",2700,78.58371
"príosún",2698,78.52550
"Rua",2693,78.37997
"smacht",2693,78.37997
"gcoimisiún",2690,78.29266
"halla",2676,77.88519
"struchtúr",2676,77.88519
"muc",2673,77.79787
"foilsigh",2672,77.76877
"anocht",2671,77.73966
"Chiarraí",2669,77.68145
"cothaigh",2668,77.65234
"ealaíontóir",2659,77.39040
"agallamh",2655,77.27398
"caill",2645,76.98293
"comhthéacs",2643,76.92472
"féar",2643,76.92472
"codail",2643,76.92472
"ról",2638,76.77919
"teas",2631,76.57546
"feirmeoir",2628,76.48814
"cosúlacht",2623,76.34262
"for",2621,76.28441
"saoire",2614,76.08067
"eol",2614,76.08067
"póca",2608,75.90604
"faitíos",2607,75.87694
"comhluadar",2606,75.84783
"dóchas",2599,75.64409
"triail",2596,75.55678
"léitheoir",2589,75.35304
"teannta",2588,75.32394
"Bean",2588,75.32394
"Micheál",2588,75.32394
"náisiún",2581,75.12020
"gunna",2571,74.82915
"bus",2568,74.74184
"iompar",2565,74.65452
"caora",2550,74.21795
"infheistíocht",2550,74.21795
"naoi",2548,74.15974
"planda",2546,74.10153
"ceadúnas",2545,74.07242
"fán",2541,73.95600
"coimisinéir",2531,73.66495
"cine",2525,73.49032
"déanaí",2522,73.40300
"tor",2520,73.34479
"moill",2520,73.34479
"cnámh",2513,73.14106
"cuireadh",2510,73.05374
"rabh",2509,73.02464
"bainne",2503,72.85001
"oscail",2501,72.79180
"réiteach",2494,72.58806
"tosaigh",2492,72.52985
"druga",2489,72.44254
"cárta",2487,72.38433
"Críost",2487,72.38433
"ubh",2481,72.20970
"taifead",2478,72.12238
"son",2476,72.06417
"Aodh",2476,72.06417
"polaiteoir",2474,72.00596
"ollamh",2472,71.94775
"brúigh",2468,71.83133
"cúige",2468,71.83133
"Luimneach",2460,71.59849
"Mícheál",2457,71.51117
"uachtar",2455,71.45296
"luigh",2447,71.22012
"tit",2445,71.16191
"Eo",2444,71.13281
"uaireanta",2441,71.04549
"comparáid",2441,71.04549
"séipéal",2439,70.98728
"gruaig",2435,70.87086
"achar",2431,70.75444
"ionas",2428,70.66713
"taispeáin",2426,70.60892
"deirfiúr",2424,70.55071
"ríocht",2422,70.49250
"Aifreann",2422,70.49250
"praghas",2417,70.34697
"bréag",2417,70.34697
"gort",2407,70.05592
"reachtaíocht",2407,70.05592
"spás",2405,69.99771
"geimhreadh",2398,69.79397
"léargas",2392,69.61934
"carn",2390,69.56113
"muinín",2390,69.56113
"iarraidh",2390,69.56113
"curaclam",2388,69.50292
"clois",2383,69.35740
"buidéal",2382,69.32829
"ae",2377,69.18277
"easpag",2367,68.89172
"cónaigh",2366,68.86261
"fostóir",2365,68.83351
"stádas",2363,68.77530
"Dónall",2359,68.65888
"ceangail",2357,68.60067
"sruth",2357,68.60067
"glacadh",2355,68.54246
"díospóireacht",2350,68.39693
"tuilleadh",2349,68.36783
"slán",2345,68.25141
"feoil",2342,68.16409
"pearsa",2341,68.13498
"breitheamh",2338,68.04767
"droichead",2338,68.04767
"foláir",2338,68.04767
"scríbhneoireacht",2327,67.72751
"díth",2327,67.72751
"Ireland",2326,67.69841
"comhréir",2324,67.64020
"tábhairne",2322,67.58199
"Lúnasa",2321,67.55288
"stíl",2320,67.52378
"dúshlán",2316,67.40736
"dobhar",2315,67.37825
"táille",2313,67.32004
"gluaisteán",2313,67.32004
"éirí",2310,67.23273
"cat",2308,67.17452
"misneach",2308,67.17452
"gluais",2308,67.17452
"éadan",2305,67.08720
"comhlíon",2303,67.02899
"mol",2302,66.99989
"móin",2300,66.94168
"Spáinn",2300,66.94168
"meon",2299,66.91257
"locht",2299,66.91257
"rúnaí",2299,66.91257
"lí",2299,66.91257
"réigiún",2297,66.85436
"slat",2291,66.67973
"difríocht",2285,66.50510
"féachaint",2278,66.30136
"mainistir",2271,66.09763
"cuidigh",2269,66.03942
"Feabhra",2268,66.01031
"úrscéal",2268,66.01031
"staid",2267,65.98121
"éis",2260,65.77747
"dúiche",2259,65.74837
"scéala",2255,65.63195
"Áine",2249,65.45732
"prionsabal",2248,65.42821
"blas",2236,65.07895
"aimsigh",2235,65.04985
"ceathrar",2235,65.04985
"lear",2230,64.90432
"Muiris",2230,64.90432
"eacnamaíocht",2228,64.84611
"Chorcaí",2221,64.64238
"cor",2221,64.64238
"oibriú",2220,64.61327
"brón",2219,64.58417
"liúntas",2217,64.52596
"scoth",2215,64.46775
"deisceart",2215,64.46775
"aiste",2214,64.43864
"tóin",2213,64.40953
"ola",2212,64.38043
"ullmhaigh",2212,64.38043
"cathaoir",2210,64.32222
"traein",2207,64.23490
"téama",2203,64.11848
"aisteoir",2191,63.76922
"leabharlann",2190,63.74012
"abairt",2184,63.56549
"sochar",2178,63.39086
"dearcadh",2177,63.36175
"that",2175,63.30354
"draíocht",2175,63.30354
"Lean",2174,63.27444
"cluais",2171,63.18712
"báisteach",2167,63.07070
"ocras",2167,63.07070
"rian",2165,63.01249
"déanamh",2165,63.01249
"faoiseamh",2162,62.92518
"fáil",2161,62.89607
"trua",2159,62.83786
"cruinnigh",2156,62.75055
"soláthar",2156,62.75055
"snámh",2155,62.72144
"smaoinigh",2154,62.69234
"bráthair",2153,62.66323
"eagarthóir",2152,62.63413
"dícheall",2151,62.60502
"Séamus",2150,62.57592
"freagair",2149,62.54681
"cíos",2142,62.34307
"daonra",2137,62.19755
"póilín",2132,62.05202
"Joe",2118,61.64455
"boladh",2112,61.46992
"gradam",2111,61.44082
"rá",2111,61.44082
"trádáil",2110,61.41171
"arán",2109,61.38261
"deoir",2108,61.35350
"tógáil",2101,61.14977
"spiorad",2100,61.12066
"glan",2100,61.12066
"cainteoir",2095,60.97514
"Cathair",2095,60.97514
"Diarmaid",2092,60.88782
"caitheamh",2087,60.74230
"drámaíocht",2086,60.71319
"tobar",2082,60.59677
"comharsa",2074,60.36393
"buntáiste",2073,60.33482
"Bán",2072,60.30572
"rannóg",2070,60.24751
"aistrigh",2065,60.10198
"bac",2064,60.07288
"Éamonn",2063,60.04377
"etc",2062,60.01467
"marbh",2061,59.98556
"vótáil",2059,59.92735
"eagras",2055,59.81093
"béile",2052,59.72362
"cré",2048,59.60720
"bearna",2047,59.57809
"magadh",2046,59.54899
"olc",2046,59.54899
"sonra",2046,59.54899
"aistriúchán",2045,59.51988
"óstán",2034,59.19973
"suí",2034,59.19973
"meall",2033,59.17062
"iomaíocht",2032,59.14152
"mullach",2030,59.08331
"leithscéal",2029,59.05420
"achan",2027,58.99599
"maoin",2027,58.99599
"ceoltóir",2026,58.96689
"coitinne",2023,58.87957
"earnáil",2022,58.85047
"náire",2020,58.79226
"pinsean",2016,58.67583
"cúnaigh",2014,58.61762
"ionannas",2014,58.61762
"Ruairí",2014,58.61762
"teip",2013,58.58852
"ionadaí",2013,58.58852
"glas",2009,58.47210
"tromlach",2009,58.47210
"traenáil",2004,58.32657
"rinn",1990,57.91910
"corn",1989,57.89000
"Nic",1985,57.77358
"ciste",1975,57.48253
"moladh",1973,57.42432
"Mary",1973,57.42432
"Samhain",1972,57.39521
"fair",1967,57.24969
"fód",1967,57.24969
"fíon",1967,57.24969
"cladach",1966,57.22058
"suigh",1965,57.19148
"ára",1963,57.13327
"fiacail",1961,57.07506
"Fionn",1961,57.07506
"raon",1959,57.01685
"barúil",1959,57.01685
"ádh",1958,56.98774
"scáth",1957,56.95864
"bunadh",1955,56.90043
"tarlaigh",1954,56.87132
"sos",1949,56.72579
"Cathal",1948,56.69669
"méadú",1946,56.63848
"pósadh",1946,56.63848
"cros",1945,56.60937
"marc",1944,56.58027
"sinsear",1943,56.55116
"imeall",1938,56.40564
"Jack",1936,56.34743
"íomhá",1936,56.34743
"méadaigh",1934,56.28922
"Íosa",1933,56.26011
"mínigh",1931,56.20190
"othar",1931,56.20190
